id,title,price,unitprice,roomtype,floor,Total floor,direction,Construction time,area,region,street,Distance Center,Building area,House structure,Inside area,Building Type,building structure,Decoration,Scale of households,Heating mode,Equipped with elevator,Listing time,Transaction ownership,Last transaction,usage of houses,Housing years,Ownership,mortgage
599,70年产权东城区东直门桥东南角适合居住交通便利,960万,68338元/平米,3室1厅,中楼层,共26层,东南,2003年建,东方银座,东城,东直门,二至三环,140.48,平层,97.57,塔楼,钢混结构,简装,三梯八户,集中供暖,有,2018/10/15,商品房,2007/3/2,普通住宅,满五年,非共有,无
600,东城区 东直门外大街 精装 业主诚售,670万,83117元/平米,3室1厅,低楼层,共16层,西北,1990年建,东直门外大街(东城）,东城,东直门,,80.61,平层,暂无数据,塔楼,钢混结构,精装,两梯九户,集中供暖,有,2020/5/19,商品房,2013/3/20,普通住宅,满五年,非共有,有
601,望京新城精装修采光好视野开阔，*高三居室双卫！,722万,59517元/平米,3室2厅,高楼层,共31层,西南,1998年建,望京新城,朝阳,望京,四至五环,121.31,平层,暂无数据,塔楼,钢混结构,精装,三梯十二户,集中供暖,有,2018/10/22,商品房,2016/3/7,普通住宅,满两年,共有,无
602,满5唯1好楼层无遮挡，对花园安静！近地铁，配套好！,520万,68287元/平米,1室1厅,中楼层,共29层,东,2008年建,北纬40度一期,朝阳,望京,四至五环,76.15,平层,56.34,板塔结合,钢混结构,精装,两梯五户,集中供暖,有,2020/5/19,商品房,2010/4/24,普通住宅,满五年,非共有,无
603,玉泉路 1999年南北通透两居室 满五年唯一 看房方便,320万,59403元/平米,2室1厅,低楼层,共6层,南北,1999年建,地震局宿舍,石景山,玉泉路,四至五环,53.87,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/5/19,已购公房,2009/9/1,普通住宅,满五年,非共有,无
604,千鹤家园商品房社区2.9米层高，好户型四居,1100万,63965元/平米,4室1厅,中楼层,共25层,西南,2003年建,千鹤家园,朝阳,惠新西街,三至四环,171.97,平层,146.76,塔楼,钢混结构,简装,三梯八户,集中供暖,有,2020/5/19,商品房,2017/2/21,普通住宅,满两年,非共有,无
605,四季青 金雅园 南北三居 带电梯 高楼层,1038万,76527元/平米,3室2厅,中楼层,共9层,南北,2003年建,金雅园,海淀,四季青,三至四环,135.64,平层,108.15,板楼,钢混结构,简装,一梯两户,集中供暖,有,2018/11/10,已购公房,2008/9/12,普通住宅,满五年,非共有,无
606,精装修两居室 首付160万两居室 楼层高视野好,310万,44439元/平米,2室1厅,高楼层,共26层,东南,2010年建,住欣家园,朝阳,常营,五至六环,69.76,平层,暂无数据,塔楼,钢混结构,精装,三梯十户,自供暖,有,2020/5/19,一类经济适用房,2011/6/9,普通住宅,满五年,非共有,无
607,价格可谈  南北通透CBD世贸国际公寓南北两居室,1700万,91124元/平米,2室1厅,高楼层,共30层,南北,2001年建,世贸国际公寓,朝阳,东大桥,二至三环,186.56,平层,152.46,板楼,钢混结构,精装,两梯四户,集中供暖,有,2018/12/20,商品房,2015/1/26,公寓,满五年,非共有,无
608,富力精装修 南北通透 户型方正,370万,32977元/平米,3室2厅,低楼层,共20层,南北,未知年建,富力尚悦居,通州,通州其它,五至六环,112.2,平层,暂无数据,板楼,钢混结构,精装,两梯三户,集中供暖,有,2020/5/19,商品房,2017/8/9,普通住宅,满两年,共有,有
609,二环边，视野棒，双南向，精装修，带电梯,380万,61589元/平米,2室1厅,高楼层,共18层,东南,1993年建,马家堡路29号院,丰台,洋桥,二至三环,61.7,平层,50,塔楼,钢混结构,精装,两梯六户,集中供暖,有,2020/5/19,商品房,2017/3/22,普通住宅,满两年,非共有,无
610,一层带南北双花园，南花园100平米，北花园30平米,530万,31832元/平米,3室2厅,底层,共6层,南北,1999年建,天通苑本三区,昌平,天通苑,五至六环,166.5,平层,139.86,板楼,混合结构,简装,一梯两户,集中供暖,无,2019/1/17,一类经济适用房,2011/12/29,普通住宅,满五年,非共有,有
611,店经理推荐 南北通透 满五年唯一 自住装修,320万,69672元/平米,2室1厅,高楼层,共16层,南北,2012年建,首邑溪谷,大兴,枣园,五至六环,45.93,复式,暂无数据,板塔结合,钢混结构,精装,两梯十三户,集中供暖,有,2020/5/19,商品房,2014/7/16,普通住宅,满五年,非共有,有
612,洋桥角门马家堡西罗园东南两居两厅  精装修，交通便利,413万,48917元/平米,2室2厅,中楼层,共18层,东南,2000年建,政洋家园,丰台,洋桥,三至四环,84.43,平层,68.45,塔楼,钢混结构,精装,两梯九户,集中供暖,有,2019/2/12,商品房,2016/5/4,普通住宅,满两年,共有,有
613,新华联南区 不临街 中间楼层 满五唯一 诚心出售,418万,46543元/平米,2室2厅,中楼层,共6层,南北,2002年建,新华联家园南区,通州,果园,五至六环,89.81,平层,79.36,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/19,私产,2005/8/12,普通住宅,满五年,非共有,无
614,万柳万泉新新家园，满五年唯一*，采光好，紧邻地铁,985万,104211元/平米,2室2厅,高楼层,共6层,南,2000年建,万泉新新家园,海淀,万柳,三至四环,94.52,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2019/2/20,已购公房,2005/4/5,普通住宅,满五年,非共有,无
615,全明户型，南北通透，双卧朝南，精装两居室,410万,42977元/平米,2室1厅,顶层,共6层,南北,1998年建,华龙苑南里,昌平,霍营,五至六环,95.4,平层,暂无数据,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/19,商品房,2000/9/29,普通住宅,满五年,非共有,无
616,四期地暖高层全南满五年家庭一套观景房,850万,75677元/平米,2室1厅,顶层,共20层,南,2010年建,天鹅湾南区,朝阳,朝青,四至五环,112.32,平层,87.45,板塔结合,钢混结构,简装,两梯三户,集中供暖,有,2019/2/27,商品房,2016/5/12,普通住宅,满两年,非共有,有
617,紫竹桥精装修朝南三居，自住看房方便,746万,87869元/平米,3室1厅,低楼层,共16层,南,1988年建,紫竹院小区,海淀,紫竹桥,三至四环,84.9,平层,暂无数据,塔楼,钢混结构,精装,两梯五户,集中供暖,有,2020/5/19,已购公房,2000/8/14,普通住宅,满五年,非共有,无
618,东南小区满五年唯一 中间楼层 全明格局,880万,127168元/平米,3室1厅,中楼层,共6层,南北,1982年建,东南小区,海淀,中关村,三至四环,69.2,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/5/19,央产房,2004/12/13,普通住宅,满五年,非共有,无
619,看房随时 两梯两户，双卧客厅朝南观湖 只有契税,1080万,88070元/平米,3室2厅,高楼层,共19层,南西北,2001年建,大西洋新城D区,朝阳,望京,四至五环,122.63,平层,98.28,板塔结合,钢混结构,精装,两梯两户,集中供暖,有,2019/3/7,商品房,2017/12/26,普通住宅,满两年,非共有,有
620,臻园南北通透四居室 高楼层 采光充足 视野宽阔,1660万,88496元/平米,4室2厅,高楼层,共17层,南北,2015年建,臻园,朝阳,望京,五至六环,187.58,平层,157.65,板楼,钢混结构,精装,两梯两户,集中供暖,有,2019/3/7,商品房,2018/1/15,普通住宅,满两年,非共有,无
621,葡东小区 两居室 满五唯一 南北通透 一梯两户,226万,34936元/平米,2室1厅,顶层,共6层,南北,1997年建,葡东小区,门头沟,滨河西区,六环外,64.69,平层,暂无数据,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/19,已购公房,2015/3/3,普通住宅,满五年,非共有,无
622,此房商品房满五年，在京唯一住宅，采光好，随时签约,375万,43932元/平米,2室2厅,顶层,共6层,南北,2000年建,龙兴园北区,昌平,回龙观,五至六环,85.36,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2019/3/14,商品房,2001/4/10,普通住宅,满五年,非共有,无
623,角门西 双地铁 两居室 诚心出售,310万,55200元/平米,2室1厅,顶层,共6层,南北,1998年建,嘉园二里,丰台,马家堡,三至四环,56.16,平层,暂无数据,板楼,钢混结构,精装,一梯两户,集中供暖,无,2020/5/19,商品房,2008/8/29,普通住宅,满五年,非共有,无
624,本六区明厨明卫，商品房满五年两居，南北通透,339万,43697元/平米,2室1厅,顶层,共6层,南北,2000年建,天通苑本六区,昌平,天通苑,五至六环,77.58,平层,68.26,板楼,混合结构,精装,一梯三户,集中供暖,无,2020/5/20,商品房,2015/1/7,普通住宅,满五年,共有,有
625,优质四居 满五年* 东南西北四面采光 明厨明卫,1150万,107769元/平米,4室1厅,高楼层,共18层,东南西北,1996年建,小南庄怡秀园,海淀,苏州桥,三至四环,106.71,平层,72.96,塔楼,钢混结构,简装,两梯七户,集中供暖,有,2019/4/2,已购公房,2000/5/15,普通住宅,满五年,非共有,无
626,奈伦熙府，大三居室，客厅卧室朝南，2007年房龄,760万,53092元/平米,3室2厅,低楼层,共16层,东南,2007年建,奈伦熙府,石景山,杨庄,五至六环,143.15,平层,120.04,塔楼,钢混结构,精装,两梯六户,集中供暖,有,2020/5/20,商品房,2013/4/1,普通住宅,满五年,共有,无
627,南北通透三居室，次顶层，采光无遮挡,1780万,119882元/平米,3室2厅,中楼层,共10层,南北,2000年建,国兴家园,海淀,甘家口,二至三环,148.48,平层,125.47,板楼,钢混结构,简装,一梯两户,集中供暖,有,2019/4/16,商品房,2009/7/16,普通住宅,满五年,非共有,无
628,满五年唯一，东南3居室，采光好中间楼层，前后不临街,920万,65842元/平米,3室1厅,低楼层,共24层,东南,2004年建,乐城,西城,菜户营,二至三环,139.73,平层,116.37,板塔结合,钢混结构,简装,三梯十三户,自供暖,有,2019/5/1,一类经济适用房,2006/7/6,普通住宅,满五年,非共有,有
629,欢乐谷南北三居，全明格局！业主诚意出售,805万,66174元/平米,3室1厅,中楼层,共12层,南北,2009年建,格林莱雅,朝阳,垡头,四至五环,121.65,平层,99.01,板楼,钢混结构,精装,一梯两户,自供暖,有,2020/5/20,商品房,2010/11/3,普通住宅,满五年,非共有,无
630,热推房源 南北通透，无遮挡，户型方正,720万,55207元/平米,3室2厅,低楼层,共8层,南北,2007年建,柏林爱乐三期,朝阳,常营,五至六环,130.42,平层,111.99,板楼,钢混结构,精装,一梯两户,集中供暖,有,2019/5/10,商品房,2008/8/19,普通住宅,满五年,非共有,无
631,阳光两居室 满五唯一住宅 公摊小 看房方便,386万,69275元/平米,2室1厅,低楼层,共25层,西南,1990年建,芳群园一区,丰台,方庄,二至三环,55.72,平层,39.99,塔楼,钢混结构,精装,两梯九户,集中供暖,有,2020/5/20,已购公房,2002/4/16,普通住宅,满五年,非共有,无
632,洪茂沟， 满五年，东西通透 中间楼层 采光好 精装修,720万,132111元/平米,2室1厅,中楼层,共6层,东西,未知年建,洪茂沟社区,西城,月坛,二至三环,54.5,平层,41.77,板楼,混合结构,精装,一梯三户,集中供暖,无,2020/5/20,已购公房,2000/6/15,普通住宅,满五年,非共有,无
633,紫竹院公园 精装 20平米阳光房 固定车位 航天家属院,827万,103895元/平米,3室1厅,底层,共5层,南北,1988年建,紫竹院南路14号院,海淀,紫竹桥,二至三环,79.6,平层,暂无数据,板楼,混合结构,精装,一梯三户,集中供暖,无,2019/6/15,商品房,2012/2/9,普通住宅,满五年,非共有,无
634,天通苑本四区 南北通透3+4复式 商品房 户型好,615万,28450元/平米,4室2厅,中楼层,共6层,南北,2000年建,天通苑本四区,昌平,天通苑,五至六环,216.17,复式,175.68,板楼,混合结构,精装,一梯两户,集中供暖,无,2019/8/13,商品房,2012/1/13,普通住宅,满五年,共有,无
635,精装拎包住4卧南 双明卫 好位置 满5唯一 诚意卖方便看,1800万,81067元/平米,5室2厅,高楼层,共14层,南北,2001年建,嘉铭桐城A区,朝阳,亚运村小营,四至五环,222.04,复式,176.34,板楼,钢混结构,精装,两梯两户,自供暖,有,2019/9/5,商品房,2004/7/8,普通住宅,满五年,非共有,无
636,精装婚房装修 南北通透两居室  高层采光好 视野开阔,318万,35892元/平米,2室1厅,高楼层,共11层,南北,2012年建,翠林漫步,房山,长阳,五至六环,88.6,平层,74.46,板楼,钢混结构,精装,一梯两户,集中供暖,有,2020/5/20,商品房,2013/7/10,普通住宅,满五年,非共有,无
637,满五年唯一，精装修，中间层，正规两居室，诚心出售,298万,61634元/平米,2室1厅,中楼层,共6层,东北,1990年建,芳群园四区,丰台,方庄,二至三环,48.35,平层,暂无数据,板楼,混合结构,精装,一梯三户,集中供暖,无,2020/6/8,商品房,2013/4/12,普通住宅,满五年,非共有,有
638,满五唯一 南北通透格局 不是顶层,260万,41205元/平米,2室1厅,高楼层,共6层,南北,1990年建,模式口西里,石景山,苹果园,五至六环,63.1,平层,暂无数据,板楼,钢混结构,简装,一梯三户,集中供暖,无,2020/6/8,商品房,2006/8/25,普通住宅,满五年,共有,无
639,满五年唯一 精装修5层4居室复式 带南北露台 拎包入住,647万,41992元/平米,4室2厅,高楼层,共6层,南北,2001年建,运河园,通州,武夷花园,五至六环,154.08,跃层,137.12,板楼,混合结构,精装,一梯两户,自供暖,无,2020/6/9,商品房,2015/1/15,普通住宅,满五年,非共有,有
640,满五年唯一   小区中间位置  中间楼层  业主诚售,615万,44718元/平米,3室2厅,中楼层,共6层,南北,2004年建,朝阳新城一区,朝阳,东坝,五至六环,137.53,平层,121.64,板楼,混合结构,精装,一梯两户,自供暖,无,2020/5/20,一类经济适用房,2005/12/19,普通住宅,满五年,非共有,无
641,电梯中间层，板塔结合，北向开间，带飘窗,216万,45580元/平米,1室0厅,高楼层,共18层,西北,2005年建,11站,通州,梨园,五至六环,47.39,平层,暂无数据,板塔结合,钢混结构,精装,一梯四户,集中供暖,有,2020/6/10,商品房,2006/11/16,普通住宅,满五年,非共有,无
642,金融街 宏汇园中楼层大三居 无抵押 拎包入住,1410万,176692元/平米,3室1厅,中楼层,共7层,东西,1999年建,宏汇园小区,西城,金融街,二环内近,79.8,平层,暂无数据,板楼,混合结构,精装,一梯四户,集中供暖,无,2020/5/20,已购公房,2001/11/6,普通住宅,满五年,非共有,无
643,人民日报社南北通透满五年 18万精装修有22平米阳光房,432万,82052元/平米,2室1厅,底层,共6层,南北,1989年建,人民日报社家属区,朝阳,红庙,三至四环,52.65,平层,暂无数据,板楼,钢混结构,精装,一梯两户,集中供暖,有,2020/5/20,央产房,2014/1/2,普通住宅,满五年,非共有,无
644,志新村小区  板楼2层  一梯两户  南北通透  有客厅,770万,96613元/平米,3室1厅,低楼层,共6层,南北,1994年建,志新村,海淀,二里庄,四至五环,79.7,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/6/10,商品房,2014/5/12,普通住宅,满五年,非共有,有
645,秀水园板楼中间层   南北通透   两居室,376万,63493元/平米,2室1厅,中楼层,共6层,南北,1990年建,秀水园,朝阳,甜水园,三至四环,59.22,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/6/12,商品房,2009/11/23,普通住宅,满五年,非共有,有
646,财政部央产房 满五年 无浪费面积 带电梯 税少,1156万,104939元/平米,2室2厅,低楼层,共18层,西南,1997年建,万寿园,海淀,万寿路,三至四环,110.16,平层,暂无数据,板塔结合,钢混结构,简装,两梯六户,集中供暖,有,2020/5/20,央产房,2002/4/23,普通住宅,满五年,非共有,无
647,满五唯一  东三环南向两居室 户型方正,766万,65560元/平米,2室1厅,中楼层,共20层,西南,2005年建,美景东方,朝阳,华威桥,三至四环,116.84,平层,93.66,塔楼,钢混结构,精装,两梯七户,集中供暖,有,2020/6/12,商品房,2013/10/11,普通住宅,满五年,非共有,无
648,宏盛家园两居室 南北通透 满五年 个税1%征收,385万,42276元/平米,2室1厅,中楼层,共5层,南北,2001年建,宏盛家园,大兴,西红门,四至五环,91.07,平层,81.14,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/5/20,商品房,2002/9/29,普通住宅,满五年,非共有,无
649,全南向两居两卫 采光好 户型方正中高层 满五唯一,698万,61153元/平米,2室1厅,中楼层,共28层,东南南,2001年建,嘉润花园,朝阳,望京,四至五环,114.14,平层,91.42,塔楼,钢混结构,精装,三梯八户,自供暖,有,2020/6/13,商品房,2003/2/25,普通住宅,满五年,非共有,无
650,益城园 满五年唯一南北通透二居室 不临街 有钥匙,740万,64941元/平米,2室2厅,中楼层,共11层,南北,2002年建,益城园,丰台,马家堡,三至四环,113.95,平层,100.35,板楼,钢混结构,简装,一梯两户,自供暖,有,2020/6/13,商品房,2004/6/7,普通住宅,满五年,非共有,无
651,慧忠里精装修三居室，满五唯一有名额,725万,100583元/平米,3室1厅,中楼层,共6层,南北,1992年建,慧忠里,朝阳,亚运村,四至五环,72.08,平层,暂无数据,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/20,已购公房,2003/10/15,普通住宅,满五年,非共有,无
652,2000年商品房  明厨明卫明厅 非顶层 临地铁 临公园,280万,38054元/平米,2室1厅,高楼层,共6层,南北,2000年建,兴华园,大兴,枣园,五至六环,73.58,平层,64.61,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/6/13,商品房,2013/6/6,普通住宅,满五年,非共有,有
653,商满五唯一，精装三居室，小区中间位置,448万,37676元/平米,3室1厅,顶层,共6层,东南,2000年建,风雅园一区,昌平,回龙观,五至六环,118.91,平层,暂无数据,板楼,混合结构,精装,一梯四户,自供暖,无,2020/5/20,商品房,2014/12/8,普通住宅,满五年,共有,有
654,全南向，双阳台，有客厅，税费少，楼层好。,505万,81164元/平米,2室1厅,低楼层,共6层,南北,1980年建,红莲北里,西城,马连道,二至三环,62.22,平层,暂无数据,板楼,混合结构,简装,一梯四户,集中供暖,无,2020/6/13,已购公房,2016/6/17,普通住宅,满两年,非共有,无
655,此房满五唯一，南北朝向，楼层好，视野开阔，采光充足,535万,44462元/平米,3室1厅,中楼层,共15层,西南,2005年建,艺水芳园,朝阳,双桥,五至六环,120.33,平层,100.15,板塔结合,钢混结构,简装,两梯六户,自供暖,有,2020/5/20,商品房,2007/10/25,普通住宅,满五年,共有,有
656,北三环，胜古北里，全明格局户型方正，南北两居,488万,78978元/平米,2室1厅,中楼层,共6层,南北,1994年建,胜古北里,朝阳,惠新西街,三至四环,61.79,平层,43.28,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/5/20,已购公房,2000/8/30,普通住宅,满五年,非共有,无
657,满五年唯一住房，双卧朝南三居室,256万,32905元/平米,3室1厅,中楼层,共6层,南北,1996年建,义和庄北里,大兴,黄村火车站,五至六环,77.8,平层,暂无数据,板楼,混合结构,精装,一梯三户,集中供暖,无,2020/5/20,商品房,1999/9/9,普通住宅,满五年,非共有,无
658,此房看小区花园，看中国尊视野好,749万,50438元/平米,3室1厅,低楼层,共28层,西,2000年建,SOHO现代城,朝阳,CBD,三至四环,148.5,平层,125.34,塔楼,钢混结构,精装,三梯八户,集中供暖,有,2019/11/9,商品房,2013/3/18,普通住宅,满五年,共有,有
659,北营房西里 南北向三居 中间层 不临街 能停车 有花园,690万,122341元/平米,3室0厅,中楼层,共5层,南北,1982年建,北营房西里,西城,阜成门,二至三环,56.4,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/5/20,已购公房,1997/4/9,普通住宅,满五年,非共有,无
660,中国铁建梧桐苑南北通透大三居业主诚心出售,570万,47540元/平米,3室2厅,中楼层,共24层,南北,2013年建,梧桐苑栖凤园,门头沟,门头沟其它,六环外,119.9,平层,95.17,板楼,钢混结构,精装,两梯四户,集中供暖,有,2020/5/20,商品房,2015/5/8,普通住宅,满五年,非共有,无
661,知春路 双南向两居 中间楼层 精装修,850万,93902元/平米,2室2厅,中楼层,共27层,南,1999年建,太月园,海淀,知春路,三至四环,90.52,平层,90.52,塔楼,钢混结构,精装,三梯十户,集中供暖,有,2019/12/3,商品房,2001/6/8,普通住宅,满五年,非共有,有
662,满五年唯一成本价，三面采光 低楼层,599万,72230元/平米,3室1厅,低楼层,共6层,南北,1995年建,菊园,海淀,马连洼,五至六环,82.93,平层,暂无数据,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/21,已购公房,2010/9/13,普通住宅,满五年,非共有,无
663,商满五唯一，电梯南北通透三居室，一梯两户,508万,51324元/平米,3室2厅,高楼层,共6层,南北,2003年建,流星花园三区,昌平,回龙观,五至六环,98.98,平层,暂无数据,板楼,混合结构,简装,一梯两户,自供暖,有,2020/4/8,私产,2006/2/7,普通住宅,满五年,共有,无
664,户型方正，南向，小三居，采光好，需全款购买,351万,33660元/平米,3室1厅,低楼层,共24层,南西,2008年建,博客雅居,亦庄开发区,亦庄,五至六环,104.28,平层,78.86,塔楼,钢混结构,简装,三梯十二户,集中供暖,有,2020/5/21,商品房,2015/4/27,公寓,满五年,共有,无
665,SOHO现代城 3室1厅 824万,824万,55956元/平米,3室1厅,中楼层,共28层,东,2000年建,SOHO现代城,朝阳,CBD,三至四环,147.26,平层,124.42,塔楼,钢混结构,精装,三梯八户,集中供暖,有,2020/5/4,商品房,2014/9/17,普通住宅,满五年,非共有,无
666,满五年唯一 南北通透 采光很好 户型方正 精装修,355万,48704元/平米,2室1厅,低楼层,共6层,南北,2000年建,建东苑,朝阳,管庄,五至六环,72.89,平层,72.89,板楼,混合结构,其他,一梯两户,自供暖,无,2020/5/21,一类经济适用房,2000/9/11,普通住宅,满五年,非共有,无
667,全明格局，南北通透，满五年，价格可谈，诚意出售。,420万,72791元/平米,2室1厅,高楼层,共6层,南北,1987年建,金沟河3号院,海淀,五棵松,四至五环,57.7,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/5/11,已购公房,1998/3/18,普通住宅,满五年,非共有,无
668,保利茉莉公馆 满五年优质三居 中间位置 诚心出售,535万,59458元/平米,3室1厅,低楼层,共27层,南北,2012年建,保利茉莉公馆,大兴,黄村北,五至六环,89.98,平层,67.9,板塔结合,钢混结构,精装,两梯四户,集中供暖,有,2020/5/21,商品房,2013/11/5,普通住宅,满五年,非共有,有
669,满五唯一，次顶层，南北三居室，电梯直达，全明格局,869万,102032元/平米,3室1厅,高楼层,共18层,南北,1991年建,北沙沟,海淀,甘家口,二至三环,85.17,平层,暂无数据,板塔结合,钢混结构,简装,两梯四户,集中供暖,有,2020/5/11,已购公房,1990/5/12,普通住宅,满五年,非共有,无
670,郝庄家园 2室2厅 198万,198万,29033元/平米,2室2厅,高楼层,共6层,南北,2002年建,郝庄家园,昌平,西关环岛,六环外,68.2,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/5/21,商品房,2016/1/4,普通住宅,满两年,非共有,有
671,商品房满五年 业主家庭名下唯一住房,540万,47586元/平米,3室2厅,中楼层,共17层,南北,2008年建,北京北,昌平,立水桥,五至六环,113.48,平层,85.92,板塔结合,钢混结构,精装,两梯两户,集中供暖,有,2018/8/6,商品房,2009/6/4,普通住宅,满五年,非共有,无
672,新华联家园南区 2室1厅 458万,458万,45079元/平米,2室1厅,底层,共7层,南北,2002年建,新华联家园南区,通州,果园,五至六环,101.6,平层,90.46,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/21,商品房,2005/1/31,普通住宅,满五年,非共有,无
673,望都 精装大三居，看房方便，直接入住，普通住宅,488万,35381元/平米,3室2厅,高楼层,共6层,东南北,2008年建,望都新地,昌平,北七家,五至六环,137.93,平层,125.04,板楼,混合结构,精装,一梯两户,自供暖,无,2020/5/21,商品房,2010/5/21,普通住宅,满五年,非共有,无
674,新桥家园 功能分配齐全  交通便利 适合老人多口居住,314万,26685元/平米,2室2厅,底层,共24层,西,2003年建,新桥家园,门头沟,大峪,六环外,117.67,平层,94.01,塔楼,钢混结构,精装,三梯十户,集中供暖,有,2019/1/11,商品房,2009/8/24,普通住宅,满五年,共有,无
675,商满五唯一，精装三居，业主自住，南北通透,459万,32425元/平米,3室2厅,中楼层,共7层,南北,2001年建,天通苑东二区,昌平,天通苑,五至六环,141.56,平层,暂无数据,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/21,商品房,2010/11/9,普通住宅,满五年,非共有,无
676,海淀玉海园二里西南向电梯三居室，高楼层，采光好,828万,66240元/平米,3室2厅,高楼层,共11层,西南,1998年建,玉海园二里,海淀,玉泉路,四至五环,125,平层,暂无数据,板塔结合,钢混结构,简装,两梯八户,集中供暖,有,2019/1/14,商品房,2000/6/20,普通住宅,满五年,非共有,无
677,杨庄北区 3室1厅 449万,449万,40878元/平米,3室1厅,高楼层,共16层,东北,1999年建,杨庄北区,石景山,杨庄,五至六环,109.84,平层,88.69,塔楼,钢混结构,精装,两梯九户,集中供暖,有,2020/5/21,商品房,2008/5/26,普通住宅,满五年,非共有,无
678,教委计生委，南北通透复式户型，格局好,930万,83096元/平米,3室2厅,高楼层,共7层,南北,1995年建,教委计生委大院,海淀,中关村,三至四环,111.92,复式,暂无数据,板楼,混合结构,精装,一梯四户,集中供暖,无,2019/2/16,商品房,2009/7/20,普通住宅,满五年,共有,有
679,东兴二区  南北通透大2居，带东窗 满五年,326万,39415元/平米,2室1厅,中楼层,共6层,南北,1999年建,东兴二区,顺义,顺义城,六环外,82.71,平层,71.58,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/5/21,商品房,2014/3/10,普通住宅,满五年,非共有,无
680,满五唯一 交通便利 户型方正 中间楼层 精装拎包入住,435万,62277元/平米,2室1厅,中楼层,共16层,东北,1983年建,广渠门外大街,朝阳,劲松,二至三环,69.85,平层,暂无数据,塔楼,钢混结构,精装,两梯八户,集中供暖,有,2020/5/22,已购公房,2007/12/7,普通住宅,满五年,非共有,无
681,观山园 小区中心眼睛户型大三居 有车位,2200万,127293元/平米,3室1厅,中楼层,共11层,南北,2004年建,观山园,海淀,世纪城,三至四环,172.83,平层,146.9,板楼,钢混结构,精装,一梯两户,集中供暖,有,2020/5/22,商品房,2005/1/21,普通住宅,满五年,非共有,无
682,此房满五唯一，南北通透格局好，视野开阔，采光好,406万,41227元/平米,2室1厅,低楼层,共6层,南北,2007年建,龙锦苑东一区,昌平,霍营,五至六环,98.48,平层,暂无数据,板楼,混合结构,精装,一梯两户,自供暖,无,2020/5/22,一类经济适用房,2008/1/28,普通住宅,满五年,非共有,无
683,房子南北通透，正规客厅，中间层，无遮挡 2000年楼,880万,94675元/平米,3室1厅,低楼层,共14层,南北,1999年建,增光路36号院,海淀,甘家口,二至三环,92.95,平层,暂无数据,板楼,钢混结构,精装,两梯两户,集中供暖,有,2020/5/22,已购公房,2004/11/24,普通住宅,满五年,非共有,无
684,五道口城铁旁、东王庄电梯两居、满五唯一、诚意出售！,596万,84780元/平米,2室1厅,低楼层,共16层,南西,1993年建,东王庄,海淀,五道口,四至五环,70.3,平层,暂无数据,塔楼,混合结构,简装,两梯八户,集中供暖,有,2019/2/17,已购公房,2010/10/15,普通住宅,满五年,非共有,无
685,店长推荐： 亦庄北岸2008年电梯复式四居室直达车库,605万,41213元/平米,4室1厅,高楼层,共15层,南北,2008年建,亦庄北岸,大兴,旧宫,四至五环,146.8,复式,120.48,板塔结合,钢混结构,简装,两梯四户,自供暖,有,2019/2/28,商品房,2010/5/16,普通住宅,满五年,非共有,有
686,橡树湾好房精装南北通透三居，带花厅和阳台，仅契税,1160万,93662元/平米,3室1厅,高楼层,共18层,南北,2007年建,橡树湾一期,海淀,清河,,123.85,平层,98.66,板塔结合,钢混结构,精装,两梯四户,集中供暖,有,2020/5/22,商品房,2009/8/27,普通住宅,满五年,非共有,有
687,恩济里  南北三居室 使用率达到111%,720万,104348元/平米,3室1厅,底层,共6层,南北,1993年建,恩济里小区,海淀,定慧寺,三至四环,69,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2019/3/14,央产房,2017/9/8,普通住宅,满两年,共有,有
688,前后不临街 采光充足 户型方正,1250万,83893元/平米,3室2厅,中楼层,共12层,南北,2005年建,国风北京一期,朝阳,望京,四至五环,149,平层,121.54,板楼,钢混结构,精装,两梯三户,自供暖,有,2020/5/22,商品房,2016/7/13,普通住宅,满两年,非共有,有
